"Result","velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","density","viscosity","thermal_expansivity","melt_density","permeability","melt_viscosity","compaction_viscosity","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0010002,0,-0.0006627,0,-5.3571e-15,-0.00063113,0,1.039e+07,0.0076328,1.039e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0029e-18,100,9.9975e+19,1,53.6,0,53.6,0
0.0010002,0,-0.0006627,0,-1.6304e-14,-0.00063113,0,1.0366e+07,0.0086458,1.0366e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0029e-18,100,9.9975e+19,1,54.4,0,54.4,0
0.0010002,0,-0.0006627,0,-1.0467e-14,-0.00063113,0,1.0342e+07,0.0098691,1.0342e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0029e-18,100,9.9975e+19,1,55.2,0,55.2,0
0.0010002,0,-0.0006627,0,-7.3385e-16,-0.00063113,0,1.0318e+07,0.01134,1.0318e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0029e-18,100,9.9975e+19,1,56,0,56,0
0.0010002,0,-0.0006627,0,2.6852e-15,-0.00063113,0,1.0294e+07,0.013119,1.0294e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0029e-18,100,9.9975e+19,1,56.8,0,56.8,0
0.0010002,0,-0.0006627,0,3.8391e-15,-0.00063113,0,1.027e+07,0.015338,1.027e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0029e-18,100,9.9975e+19,1,57.6,0,57.6,0
0.0010002,0,-0.0006627,0,-8.4299e-16,-0.00063113,0,1.0246e+07,0.018055,1.0246e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.003e-18,100,9.9975e+19,1,58.4,0,58.4,0
0.0010002,0,-0.0006627,0,-2.9637e-16,-0.00063113,0,1.0222e+07,0.021366,1.0222e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.003e-18,100,9.9975e+19,1,59.2,0,59.2,0
0.0010002,0,-0.0006627,0,1.1055e-14,-0.00063113,0,1.0198e+07,0.025414,1.0198e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.003e-18,100,9.9975e+19,1,60,0,60,0
0.0010002,0,-0.0006627,0,2.2866e-14,-0.00063113,0,1.0174e+07,0.030525,1.0174e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.003e-18,100,9.9975e+19,1,60.8,0,60.8,0
0.0010002,0,-0.0006627,0,2.336e-14,-0.00063113,0,1.015e+07,0.036806,1.015e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.003e-18,100,9.9975e+19,1,61.6,0,61.6,0
0.0010002,0,-0.0006627,0,1.6201e-14,-0.00063113,0,1.0126e+07,0.044501,1.0126e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.003e-18,100,9.9975e+19,1,62.4,0,62.4,0
0.0010002,0,-0.0006627,0,-6.6378e-16,-0.00063113,0,1.0102e+07,0.054075,1.0102e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.003e-18,100,9.9975e+19,1,63.2,0,63.2,0
0.0010002,0,-0.0006627,0,-8.7664e-15,-0.00063113,0,1.0078e+07,0.066062,1.0078e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0031e-18,100,9.9975e+19,1,64,0,64,0
0.0010002,0,-0.0006627,0,-4.2206e-15,-0.00063113,0,1.0054e+07,0.080799,1.0054e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0031e-18,100,9.9975e+19,1,64.8,0,64.8,0
0.0010002,0,-0.0006627,0,-5.7393e-16,-0.00063113,0,1.003e+07,0.09886,1.003e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0031e-18,100,9.9975e+19,1,65.6,0,65.6,0
0.0010002,0,-0.0006627,0,4.8544e-15,-0.00063113,0,1.0006e+07,0.12175,1.0006e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0031e-18,100,9.9975e+19,1,66.4,0,66.4,0
0.0010002,0,-0.0006627,0,5.1061e-15,-0.00063113,0,9.9824e+06,0.15004,9.9824e+06,0,0.00025005,3000,9.9975e+19,0,2500,5.0031e-18,100,9.9975e+19,1,67.2,0,67.2,0
0.0010002,0,-0.0006627,0,-1.2937e-15,-0.00063113,0,9.9584e+06,0.18479,9.9584e+06,0,0.00025005,3000,9.9975e+19,0,2500,5.0031e-18,100,9.9975e+19,1,68,0,68,0
0.0010002,0,-0.0006627,0,-1.8175e-14,-0.00063113,0,9.9344e+06,0.22791,9.9344e+06,0,0.00025005,3000,9.9975e+19,0,2500,5.0032e-18,100,9.9975e+19,1,68.8,0,68.8,0
0.0010002,0,-0.0006627,0,-2.3331e-14,-0.00063113,0,9.9104e+06,0.28234,9.9104e+06,0,0.00025005,3000,9.9975e+19,0,2500,5.0032e-18,100,9.9975e+19,1,69.6,0,69.6,0
0.0010002,0,-0.0006627,0,-1.5856e-14,-0.00063113,0,9.8864e+06,0.34925,9.8864e+06,0,0.00025005,3000,9.9975e+19,0,2500,5.0032e-18,100,9.9975e+19,1,70.4,0,70.4,0
0.0010002,0,-0.0006627,0,-6.8425e-15,-0.00063113,0,9.8624e+06,0.43142,9.8624e+06,0,0.00025005,3000,9.9975e+19,0,2500,5.0032e-18,100,9.9975e+19,1,71.2,0,71.2,0
0.0010002,0,-0.0006627,0,2.7826e-15,-0.00063113,0,9.8384e+06,0.53516,9.8384e+06,0,0.00025005,3000,9.9975e+19,0,2500,5.0032e-18,100,9.9975e+19,1,72,0,72,0
0.0010002,0,-0.0006627,0,1.7477e-15,-0.00063113,0,9.8144e+06,0.66406,9.8144e+06,0,0.00025005,3000,9.9975e+19,0,2500,5.0032e-18,100,9.9975e+19,1,72.8,0,72.8,0
0.0010002,0,-0.0006627,0,2.2064e-15,-0.00063113,0,9.7904e+06,0.82253,9.7904e+06,0,0.00025005,3000,9.9975e+19,0,2500,5.0033e-18,100,9.9975e+19,1,73.6,0,73.6,0
0.0010002,0,-0.0006627,0,2.9003e-15,-0.00063113,0,9.7664e+06,1.0182,9.7664e+06,0,0.00025006,3000,9.9975e+19,0,2500,5.0033e-18,100,9.9975e+19,1,74.4,0,74.4,0
0.0010002,0,-0.0006627,0,9.129e-15,-0.00063113,0,9.7424e+06,1.2665,9.7424e+06,0,0.00025006,3000,9.9975e+19,0,2500,5.0033e-18,100,9.9975e+19,1,75.2,0,75.2,0
0.0010002,0,-0.0006627,0,2.6274e-15,-0.00063113,0,9.7184e+06,1.572,9.7184e+06,0,0.00025006,3000,9.9975e+19,0,2500,5.0034e-18,100,9.9975e+19,1,76,0,76,0
0.0010002,0,-0.0006627,0,-7.7582e-15,-0.00063112,0,9.6944e+06,1.9473,9.6944e+06,0,0.00025006,3000,9.9975e+19,0,2500,5.0034e-18,100,9.9975e+19,1,76.8,0,76.8,0
0.0010002,0,-0.0006627,0,-9.1489e-15,-0.00063112,0,9.6704e+06,2.4187,9.6704e+06,0,0.00025006,3000,9.9975e+19,0,2500,5.0035e-18,100,9.9975e+19,1,77.6,0,77.6,0
0.0010002,0,-0.0006627,0,-8.9774e-17,-0.00063112,0,9.6464e+06,3.0075,9.6464e+06,0,0.00025006,3000,9.9975e+19,0,2500,5.0036e-18,100,9.9975e+19,1,78.4,0,78.4,0
0.0010002,0,-0.0006627,0,1.267e-14,-0.00063112,0,9.6224e+06,3.7315,9.6224e+06,0,0.00025006,3000,9.9975e+19,0,2500,5.0036e-18,100,9.9975e+19,1,79.2,0,79.2,0
0.0010002,0,-0.0006627,0,6.2925e-15,-0.00063111,0,9.5984e+06,4.6206,9.5984e+06,0,0.00025006,3000,9.9975e+19,0,2500,5.0037e-18,100,9.9975e+19,1,80,0,80,0
0.0010003,0,-0.0006627,0,9.4924e-15,-0.00063111,0,9.5744e+06,5.7552,9.5744e+06,0,0.00025006,3000,9.9975e+19,0,2500,5.0039e-18,100,9.9975e+19,1,80.8,0,80.8,0
0.0010003,0,-0.0006627,0,2.4719e-15,-0.0006311,0,9.5504e+06,7.1514,9.5504e+06,0,0.00025007,3000,9.9975e+19,0,2500,5.004e-18,100,9.9975e+19,1,81.6,0,81.6,0
0.0010003,0,-0.0006627,0,-5.6554e-15,-0.00063109,0,9.5264e+06,8.8673,9.5264e+06,0,0.00025007,3000,9.9975e+19,0,2500,5.0042e-18,100,9.9975e+19,1,82.4,0,82.4,0
0.0010003,0,-0.0006627,0,-1.0727e-14,-0.00063108,0,9.5024e+06,11.01,9.5024e+06,0,0.00025007,3000,9.9975e+19,0,2500,5.0045e-18,100,9.9975e+19,1,83.2,0,83.2,0
